,Model,Compressor,error_bound,epochs,miou,class,iou,run,model_num
58,unet,sz3,1E-7,10,0.28579531682526443,motorcycle,0.08427528258477543,1,18
59,unet,sz3,1E-7,10,0.28579531682526443,bicycle,0.14881763764594322,1,18
60,unet,sz3,1E-7,10,0.2674989640357329,unlabeled,0.38206067815476213,2,18
61,unet,sz3,1E-7,10,0.2674989640357329,road,0.8265601174475866,2,18
62,unet,sz3,1E-7,10,0.2674989640357329,sidewalk,0.42487397688512457,2,18
63,unet,sz3,1E-7,10,0.2674989640357329,building,0.6563914290683747,2,18
64,unet,sz3,1E-7,10,0.2674989640357329,wall,0.18535001401045015,2,18
65,unet,sz3,1E-7,10,0.2674989640357329,fence,0.06900692840646651,2,18
66,unet,sz3,1E-7,10,0.2674989640357329,pole,0.0023291479384609944,2,18
67,unet,sz3,1E-7,10,0.2674989640357329,traffic light,0.0,2,18
68,unet,sz3,1E-7,10,0.2674989640357329,traffic sign,0.0,2,18
69,unet,sz3,1E-7,10,0.2674989640357329,vegetation,0.6614973428521325,2,18
70,unet,sz3,1E-7,10,0.2674989640357329,terrain,0.2862836102602184,2,18
71,unet,sz3,1E-7,10,0.2674989640357329,sky,0.5917127490660681,2,18
72,unet,sz3,1E-7,10,0.2674989640357329,person,0.16525578539057703,2,18
73,unet,sz3,1E-7,10,0.2674989640357329,rider,0.00047925715141530626,2,18
74,unet,sz3,1E-7,10,0.2674989640357329,car,0.6047296191828695,2,18
75,unet,sz3,1E-7,10,0.2674989640357329,truck,0.13174608744473296,2,18
76,unet,sz3,1E-7,10,0.2674989640357329,bus,0.14622495279429587,2,18
77,unet,sz3,1E-7,10,0.2674989640357329,train,0.041942126368267045,2,18
78,unet,sz3,1E-7,10,0.2674989640357329,motorcycle,0.020714285714285713,2,18
79,unet,sz3,1E-7,10,0.2674989640357329,bicycle,0.1528211725785701,2,18
80,unet,sz3,1E-6,10,0.299135322157327,unlabeled,0.3466472071700285,0,18
81,unet,sz3,1E-6,10,0.299135322157327,road,0.8390079478148056,0,18
82,unet,sz3,1E-6,10,0.299135322157327,sidewalk,0.4359960836470446,0,18
83,unet,sz3,1E-6,10,0.299135322157327,building,0.6758274714408098,0,18
84,unet,sz3,1E-6,10,0.299135322157327,wall,0.1369296697756491,0,18
85,unet,sz3,1E-6,10,0.299135322157327,fence,0.09241027531956736,0,18
86,unet,sz3,1E-6,10,0.299135322157327,pole,0.01905759162303665,0,18
87,unet,sz3,1E-6,10,0.299135322157327,traffic light,0.0,0,18
88,unet,sz3,1E-6,10,0.299135322157327,traffic sign,0.006898051152310551,0,18
89,unet,sz3,1E-6,10,0.299135322157327,vegetation,0.678361945040388,0,18
90,unet,sz3,1E-6,10,0.299135322157327,terrain,0.33464192176631274,0,18
91,unet,sz3,1E-6,10,0.299135322157327,sky,0.6394402172004576,0,18
92,unet,sz3,1E-6,10,0.299135322157327,person,0.22165683760338045,0,18
93,unet,sz3,1E-6,10,0.299135322157327,rider,0.04332337393702597,0,18
94,unet,sz3,1E-6,10,0.299135322157327,car,0.6266356861387805,0,18
95,unet,sz3,1E-6,10,0.299135322157327,truck,0.26003294203770033,0,18
96,unet,sz3,1E-6,10,0.299135322157327,bus,0.2634153284765984,0,18
97,unet,sz3,1E-6,10,0.299135322157327,train,0.12817303359535373,0,18
98,unet,sz3,1E-6,10,0.299135322157327,motorcycle,0.0714714387036936,0,18
99,unet,sz3,1E-6,10,0.299135322157327,bicycle,0.16277942070359722,0,18
100,unet,sz3,1E-6,10,0.3002305468327708,unlabeled,0.37900771921570675,1,18
101,unet,sz3,1E-6,10,0.3002305468327708,road,0.8326623549849312,1,18
102,unet,sz3,1E-6,10,0.3002305468327708,sidewalk,0.43825174729638183,1,18
103,unet,sz3,1E-6,10,0.3002305468327708,building,0.6805521953503711,1,18
104,unet,sz3,1E-6,10,0.3002305468327708,wall,0.22138365788713868,1,18
105,unet,sz3,1E-6,10,0.3002305468327708,fence,0.11527138621122106,1,18
106,unet,sz3,1E-6,10,0.3002305468327708,pole,0.01362077495908693,1,18
107,unet,sz3,1E-6,10,0.3002305468327708,traffic light,0.0,1,18
108,unet,sz3,1E-6,10,0.3002305468327708,traffic sign,0.0053928441860237085,1,18
109,unet,sz3,1E-6,10,0.3002305468327708,vegetation,0.6782547265193832,1,18
110,unet,sz3,1E-6,10,0.3002305468327708,terrain,0.31552443294260923,1,18
111,unet,sz3,1E-6,10,0.3002305468327708,sky,0.6499794566762033,1,18
112,unet,sz3,1E-6,10,0.3002305468327708,person,0.22821599394826142,1,18
113,unet,sz3,1E-6,10,0.3002305468327708,rider,0.023590608744552228,1,18
114,unet,sz3,1E-6,10,0.3002305468327708,car,0.6293116984260574,1,18
115,unet,sz3,1E-6,10,0.3002305468327708,truck,0.2124562072283033,1,18
116,unet,sz3,1E-6,10,0.3002305468327708,bus,0.3180144756943575,1,18
117,unet,sz3,1E-6,10,0.3002305468327708,train,0.018674908584363572,1,18
118,unet,sz3,1E-6,10,0.3002305468327708,motorcycle,0.08584842387659289,1,18
119,unet,sz3,1E-6,10,0.3002305468327708,bicycle,0.1585973239238708,1,18
120,unet,sz3,1E-5,10,0.27338242468640594,unlabeled,0.3580991718622233,0,18
121,unet,sz3,1E-5,10,0.27338242468640594,road,0.837320207369904,0,18
122,unet,sz3,1E-5,10,0.27338242468640594,sidewalk,0.4326369590874253,0,18
123,unet,sz3,1E-5,10,0.27338242468640594,building,0.665972317262345,0,18
124,unet,sz3,1E-5,10,0.27338242468640594,wall,0.07068319545374538,0,18
125,unet,sz3,1E-5,10,0.27338242468640594,fence,0.055874349683477376,0,18
126,unet,sz3,1E-5,10,0.27338242468640594,pole,0.004438754861074452,0,18
127,unet,sz3,1E-5,10,0.27338242468640594,traffic light,0.0,0,18
128,unet,sz3,1E-5,10,0.27338242468640594,traffic sign,2.002002002002002e-05,0,18
129,unet,sz3,1E-5,10,0.27338242468640594,vegetation,0.6757930281706206,0,18
130,unet,sz3,1E-5,10,0.27338242468640594,terrain,0.3271594480120235,0,18
131,unet,sz3,1E-5,10,0.27338242468640594,sky,0.6292466737188306,0,18
132,unet,sz3,1E-5,10,0.27338242468640594,person,0.23070467758020968,0,18
133,unet,sz3,1E-5,10,0.27338242468640594,rider,0.013192459801968766,0,18
134,unet,sz3,1E-5,10,0.27338242468640594,car,0.5870968187198272,0,18
135,unet,sz3,1E-5,10,0.27338242468640594,truck,0.16182435946330131,0,18
136,unet,sz3,1E-5,10,0.27338242468640594,bus,0.23242996206754718,0,18
137,unet,sz3,1E-5,10,0.27338242468640594,train,0.0067565072918589625,0,18
138,unet,sz3,1E-5,10,0.27338242468640594,motorcycle,0.02968305707746723,0,18
139,unet,sz3,1E-5,10,0.27338242468640594,bicycle,0.14871652622424805,0,18
140,unet,sz3,1E-4,10,0.28439937854810243,unlabeled,0.36125181091058,0,18
141,unet,sz3,1E-4,10,0.28439937854810243,road,0.8389454878888972,0,18
142,unet,sz3,1E-4,10,0.28439937854810243,sidewalk,0.43423986261687864,0,18
143,unet,sz3,1E-4,10,0.28439937854810243,building,0.679593160462214,0,18
144,unet,sz3,1E-4,10,0.28439937854810243,wall,0.2063452777799262,0,18
145,unet,sz3,1E-4,10,0.28439937854810243,fence,0.08709997318081743,0,18
