,Model,Compressor,error_bound,epochs,miou,class,iou,run
0,unet,sz3,base,10,0.4288146708920403,unlabeled,0.4731287704260677,0
1,unet,sz3,base,10,0.4288146708920403,road,0.8903564112830877,0
2,unet,sz3,base,10,0.4288146708920403,sidewalk,0.5564519467466615,0
3,unet,sz3,base,10,0.4288146708920403,building,0.7695990608848192,0
4,unet,sz3,base,10,0.4288146708920403,wall,0.24255562511109566,0
5,unet,sz3,base,10,0.4288146708920403,fence,0.22589670134526144,0
6,unet,sz3,base,10,0.4288146708920403,pole,0.12317462018702607,0
7,unet,sz3,base,10,0.4288146708920403,traffic light,0.17487564878892733,0
8,unet,sz3,base,10,0.4288146708920403,traffic sign,0.2909289066376036,0
9,unet,sz3,base,10,0.4288146708920403,vegetation,0.7992393750108365,0
10,unet,sz3,base,10,0.4288146708920403,terrain,0.4522636548411979,0
11,unet,sz3,base,10,0.4288146708920403,sky,0.8210005110257366,0
12,unet,sz3,base,10,0.4288146708920403,person,0.4330395185781077,0
13,unet,sz3,base,10,0.4288146708920403,rider,0.10201192453241131,0
14,unet,sz3,base,10,0.4288146708920403,car,0.7745016583129294,0
15,unet,sz3,base,10,0.4288146708920403,truck,0.3382705410281959,0
16,unet,sz3,base,10,0.4288146708920403,bus,0.4219285601812037,0
17,unet,sz3,base,10,0.4288146708920403,train,0.2412363362231436,0
18,unet,sz3,base,10,0.4288146708920403,motorcycle,0.07809212064531214,0
19,unet,sz3,base,10,0.4288146708920403,bicycle,0.36774152605117866,0
20,unet,sz3,base,10,0.4525469151723711,unlabeled,0.4965320984662333,3
21,unet,sz3,base,10,0.4525469151723711,road,0.8968770057636327,3
22,unet,sz3,base,10,0.4525469151723711,sidewalk,0.5861542586185916,3
23,unet,sz3,base,10,0.4525469151723711,building,0.7755969593342228,3
24,unet,sz3,base,10,0.4525469151723711,wall,0.18732696877883853,3
25,unet,sz3,base,10,0.4525469151723711,fence,0.2077362266651495,3
26,unet,sz3,base,10,0.4525469151723711,pole,0.12187987749501684,3
27,unet,sz3,base,10,0.4525469151723711,traffic light,0.2158353952337544,3
28,unet,sz3,base,10,0.4525469151723711,traffic sign,0.3099809009483667,3
29,unet,sz3,base,10,0.4525469151723711,vegetation,0.8037314684943911,3
30,unet,sz3,base,10,0.4525469151723711,terrain,0.420018159172128,3
31,unet,sz3,base,10,0.4525469151723711,sky,0.8266572507855854,3
32,unet,sz3,base,10,0.4525469151723711,person,0.44546152981298953,3
33,unet,sz3,base,10,0.4525469151723711,rider,0.2250622960926863,3
34,unet,sz3,base,10,0.4525469151723711,car,0.8019317698536923,3
35,unet,sz3,base,10,0.4525469151723711,truck,0.42072846293997196,3
36,unet,sz3,base,10,0.4525469151723711,bus,0.5071794747199884,3
37,unet,sz3,base,10,0.4525469151723711,train,0.2578296935838835,3
38,unet,sz3,base,10,0.4525469151723711,motorcycle,0.13161799156645324,3
39,unet,sz3,base,10,0.4525469151723711,bicycle,0.4128005151218487,3
40,unet,sz3,1E-7,10,0.4363963672491442,unlabeled,0.47175334555999787,0
41,unet,sz3,1E-7,10,0.4363963672491442,road,0.8948469689599838,0
42,unet,sz3,1E-7,10,0.4363963672491442,sidewalk,0.5725339515616542,0
43,unet,sz3,1E-7,10,0.4363963672491442,building,0.7762666925218737,0
44,unet,sz3,1E-7,10,0.4363963672491442,wall,0.2684646585335178,0
45,unet,sz3,1E-7,10,0.4363963672491442,fence,0.20633040163797212,0
46,unet,sz3,1E-7,10,0.4363963672491442,pole,0.13358538355575963,0
47,unet,sz3,1E-7,10,0.4363963672491442,traffic light,0.1546120148270686,0
48,unet,sz3,1E-7,10,0.4363963672491442,traffic sign,0.27993923095728707,0
49,unet,sz3,1E-7,10,0.4363963672491442,vegetation,0.8010654640392804,0
50,unet,sz3,1E-7,10,0.4363963672491442,terrain,0.4301990082174575,0
51,unet,sz3,1E-7,10,0.4363963672491442,sky,0.8111046429933557,0
52,unet,sz3,1E-7,10,0.4363963672491442,person,0.4474064424033068,0
53,unet,sz3,1E-7,10,0.4363963672491442,rider,0.2108373906935058,0
54,unet,sz3,1E-7,10,0.4363963672491442,car,0.8002344101016158,0
55,unet,sz3,1E-7,10,0.4363963672491442,truck,0.3518278899368618,0
56,unet,sz3,1E-7,10,0.4363963672491442,bus,0.45532117105018494,0
57,unet,sz3,1E-7,10,0.4363963672491442,train,0.10399858925186263,0
58,unet,sz3,1E-7,10,0.4363963672491442,motorcycle,0.15029593668949923,0
59,unet,sz3,1E-7,10,0.4363963672491442,bicycle,0.40730375149083814,0
60,unet,sz3,1E-7,10,0.4003977833792735,unlabeled,0.45611270924747355,1
61,unet,sz3,1E-7,10,0.4003977833792735,road,0.8915159724429635,1
62,unet,sz3,1E-7,10,0.4003977833792735,sidewalk,0.545285545196085,1
63,unet,sz3,1E-7,10,0.4003977833792735,building,0.7628425312667386,1
64,unet,sz3,1E-7,10,0.4003977833792735,wall,0.1954527097400435,1
65,unet,sz3,1E-7,10,0.4003977833792735,fence,0.20529894675116714,1
66,unet,sz3,1E-7,10,0.4003977833792735,pole,0.1169943072295934,1
67,unet,sz3,1E-7,10,0.4003977833792735,traffic light,0.11825007219174126,1
68,unet,sz3,1E-7,10,0.4003977833792735,traffic sign,0.26537275387859144,1
69,unet,sz3,1E-7,10,0.4003977833792735,vegetation,0.7914867664130497,1
70,unet,sz3,1E-7,10,0.4003977833792735,terrain,0.4047011253782717,1
71,unet,sz3,1E-7,10,0.4003977833792735,sky,0.7978666566490106,1
72,unet,sz3,1E-7,10,0.4003977833792735,person,0.41544591137640036,1
73,unet,sz3,1E-7,10,0.4003977833792735,rider,0.13779937521693855,1
74,unet,sz3,1E-7,10,0.4003977833792735,car,0.7922108520313199,1
75,unet,sz3,1E-7,10,0.4003977833792735,truck,0.29264904235230643,1
76,unet,sz3,1E-7,10,0.4003977833792735,bus,0.24684540409200098,1
77,unet,sz3,1E-7,10,0.4003977833792735,train,0.11778974146601195,1
78,unet,sz3,1E-7,10,0.4003977833792735,motorcycle,0.0840150749149738,1
79,unet,sz3,1E-7,10,0.4003977833792735,bicycle,0.3700201697507885,1
80,unet,sz3,1E-7,10,0.42602937150821996,unlabeled,0.4768303434507595,2
