,Model,Compressor,error_bound,epochs,miou,class,iou,run
0,unet,sz3,base,10,0.0011451886158094949,unlabeled,1.0541517767728197e-05,0
1,unet,sz3,base,10,0.0011451886158094949,road,0.006143540753237239,0
2,unet,sz3,base,10,0.0011451886158094949,sidewalk,8.234838209649293e-05,0
3,unet,sz3,base,10,0.0011451886158094949,building,0.0017604307951799515,0
4,unet,sz3,base,10,0.0011451886158094949,wall,0.005009311517531295,0
5,unet,sz3,base,10,0.0011451886158094949,fence,0.013824962554084408,0
6,unet,sz3,base,10,0.0011451886158094949,pole,0.0009304650936714486,0
7,unet,sz3,base,10,0.0011451886158094949,traffic light,0.0,0
8,unet,sz3,base,10,0.0011451886158094949,traffic sign,0.0003133273618651481,0
9,unet,sz3,base,10,0.0011451886158094949,vegetation,2.4423496450306472e-05,0
10,unet,sz3,base,10,0.0011451886158094949,terrain,0.0015344738206324521,0
11,unet,sz3,base,10,0.0011451886158094949,sky,0.003953391478405306,0
12,unet,sz3,base,10,0.0011451886158094949,person,0.0033203148327301825,0
13,unet,sz3,base,10,0.0011451886158094949,rider,0.00034632152218494927,0
14,unet,sz3,base,10,0.0011451886158094949,car,0.0,0
15,unet,sz3,base,10,0.0011451886158094949,truck,0.0,0
16,unet,sz3,base,10,0.0011451886158094949,bus,0.0,0
17,unet,sz3,base,10,0.0011451886158094949,train,0.0016825598116859168,0
18,unet,sz3,base,10,0.0011451886158094949,motorcycle,0.0,0
19,unet,sz3,base,10,0.0011451886158094949,bicycle,0.0,0
20,unet,sz3,base,10,0.0011670084654205807,unlabeled,1.4441574709306303e-05,1
21,unet,sz3,base,10,0.0011670084654205807,road,0.006093450820504684,1
22,unet,sz3,base,10,0.0011670084654205807,sidewalk,0.0,1
23,unet,sz3,base,10,0.0011670084654205807,building,0.0021678740444548675,1
24,unet,sz3,base,10,0.0011670084654205807,wall,0.005561423152567228,1
25,unet,sz3,base,10,0.0011670084654205807,fence,0.01451106875824659,1
26,unet,sz3,base,10,0.0011670084654205807,pole,0.000636218538301739,1
27,unet,sz3,base,10,0.0011670084654205807,traffic light,0.0,1
28,unet,sz3,base,10,0.0011670084654205807,traffic sign,0.00026652545085282327,1
29,unet,sz3,base,10,0.0011670084654205807,vegetation,1.612329000525968e-05,1
30,unet,sz3,base,10,0.0011670084654205807,terrain,0.0009349677955537087,1
31,unet,sz3,base,10,0.0011670084654205807,sky,0.003970038222900358,1
32,unet,sz3,base,10,0.0011670084654205807,person,0.003348071206885757,1
33,unet,sz3,base,10,0.0011670084654205807,rider,0.00025764982676439277,1
34,unet,sz3,base,10,0.0011670084654205807,car,0.0,1
35,unet,sz3,base,10,0.0011670084654205807,truck,0.0,1
36,unet,sz3,base,10,0.0011670084654205807,bus,0.0,1
37,unet,sz3,base,10,0.0011670084654205807,train,0.0019004351425530267,1
38,unet,sz3,base,10,0.0011670084654205807,motorcycle,0.0,1
39,unet,sz3,base,10,0.0011670084654205807,bicycle,0.0,1
40,unet,sz3,base,10,0.001196782800054226,unlabeled,1.0663896084902893e-05,2
41,unet,sz3,base,10,0.001196782800054226,road,0.005817938168258188,2
42,unet,sz3,base,10,0.001196782800054226,sidewalk,4.56790848521629e-05,2
43,unet,sz3,base,10,0.001196782800054226,building,0.0022448297023946588,2
44,unet,sz3,base,10,0.001196782800054226,wall,0.008098247338422338,2
45,unet,sz3,base,10,0.001196782800054226,fence,0.012288160772579411,2
46,unet,sz3,base,10,0.001196782800054226,pole,0.0010976118542080254,2
47,unet,sz3,base,10,0.001196782800054226,traffic light,0.0,2
48,unet,sz3,base,10,0.001196782800054226,traffic sign,0.0002882575007727385,2
49,unet,sz3,base,10,0.001196782800054226,vegetation,2.657439108703636e-05,2
50,unet,sz3,base,10,0.001196782800054226,terrain,0.0011772182229213765,2
51,unet,sz3,base,10,0.001196782800054226,sky,0.0036854688892776514,2
52,unet,sz3,base,10,0.001196782800054226,person,0.003557809903572534,2
53,unet,sz3,base,10,0.001196782800054226,rider,0.00021981096257218792,2
54,unet,sz3,base,10,0.001196782800054226,car,0.0,2
55,unet,sz3,base,10,0.001196782800054226,truck,0.0,2
56,unet,sz3,base,10,0.001196782800054226,bus,0.0,2
57,unet,sz3,base,10,0.001196782800054226,train,0.002132344514840463,2
58,unet,sz3,base,10,0.001196782800054226,motorcycle,0.0,2
59,unet,sz3,base,10,0.001196782800054226,bicycle,0.0,2
60,unet,sz3,base,10,0.001229367643961489,unlabeled,3.640467436018785e-05,3
61,unet,sz3,base,10,0.001229367643961489,road,0.006084901577940841,3
62,unet,sz3,base,10,0.001229367643961489,sidewalk,7.484749822237191e-05,3
63,unet,sz3,base,10,0.001229367643961489,building,0.0021607824141568538,3
64,unet,sz3,base,10,0.001229367643961489,wall,0.005206368369425791,3
65,unet,sz3,base,10,0.001229367643961489,fence,0.01584714988701542,3
66,unet,sz3,base,10,0.001229367643961489,pole,0.000803655934453038,3
67,unet,sz3,base,10,0.001229367643961489,traffic light,0.0,3
68,unet,sz3,base,10,0.001229367643961489,traffic sign,0.0003671886710675081,3
69,unet,sz3,base,10,0.001229367643961489,vegetation,1.0074203075785602e-05,3
70,unet,sz3,base,10,0.001229367643961489,terrain,0.0012543016112951469,3
71,unet,sz3,base,10,0.001229367643961489,sky,0.004055013272695198,3
72,unet,sz3,base,10,0.001229367643961489,person,0.0033353483769876,3
73,unet,sz3,base,10,0.001229367643961489,rider,0.0004434741079347752,3
74,unet,sz3,base,10,0.001229367643961489,car,0.0,3
75,unet,sz3,base,10,0.001229367643961489,truck,3.134943649387902e-05,3
76,unet,sz3,base,10,0.001229367643961489,bus,0.0,3
77,unet,sz3,base,10,0.001229367643961489,train,0.0020876398595662303,3
78,unet,sz3,base,10,0.001229367643961489,motorcycle,0.0,3
79,unet,sz3,base,10,0.001229367643961489,bicycle,0.0,3
80,unet,sz3,base,10,0.0012382127798695477,unlabeled,3.7619526641020183e-06,4
81,unet,sz3,base,10,0.0012382127798695477,road,0.006797168328811868,4
82,unet,sz3,base,10,0.0012382127798695477,sidewalk,8.524462840445735e-05,4
83,unet,sz3,base,10,0.0012382127798695477,building,0.0021367773898696898,4
84,unet,sz3,base,10,0.0012382127798695477,wall,0.006001834621936836,4
85,unet,sz3,base,10,0.0012382127798695477,fence,0.014407990258067539,4
86,unet,sz3,base,10,0.0012382127798695477,pole,0.0011224946814466464,4
87,unet,sz3,base,10,0.0012382127798695477,traffic light,0.0,4
88,unet,sz3,base,10,0.0012382127798695477,traffic sign,0.00034201636094591953,4
89,unet,sz3,base,10,0.0012382127798695477,vegetation,2.6095863153293625e-05,4
90,unet,sz3,base,10,0.0012382127798695477,terrain,0.001243292067371553,4
91,unet,sz3,base,10,0.0012382127798695477,sky,0.0041246529463484696,4
92,unet,sz3,base,10,0.0012382127798695477,person,0.003978856086439514,4
93,unet,sz3,base,10,0.0012382127798695477,rider,0.0005102828712811457,4
94,unet,sz3,base,10,0.0012382127798695477,car,0.0,4
95,unet,sz3,base,10,0.0012382127798695477,truck,0.0,4
96,unet,sz3,base,10,0.0012382127798695477,bus,0.0,4
97,unet,sz3,base,10,0.0012382127798695477,train,0.001318766458823578,4
98,unet,sz3,base,10,0.0012382127798695477,motorcycle,0.0,4
99,unet,sz3,base,10,0.0012382127798695477,bicycle,0.0,4
100,unet,sz3,base,10,0.001203213801540802,unlabeled,1.0445944846903486e-05,5
101,unet,sz3,base,10,0.001203213801540802,road,0.005910551023801114,5
102,unet,sz3,base,10,0.001203213801540802,sidewalk,1.7653752144529664e-05,5
103,unet,sz3,base,10,0.001203213801540802,building,0.001740781769267289,5
104,unet,sz3,base,10,0.001203213801540802,wall,0.006160818240198817,5
105,unet,sz3,base,10,0.001203213801540802,fence,0.013598661458654975,5
106,unet,sz3,base,10,0.001203213801540802,pole,0.0007935583043379337,5
107,unet,sz3,base,10,0.001203213801540802,traffic light,0.0,5
108,unet,sz3,base,10,0.001203213801540802,traffic sign,0.00033055311779097405,5
109,unet,sz3,base,10,0.001203213801540802,vegetation,1.4429635848462589e-05,5
110,unet,sz3,base,10,0.001203213801540802,terrain,0.00226232495784325,5
111,unet,sz3,base,10,0.001203213801540802,sky,0.0037874935315031165,5
112,unet,sz3,base,10,0.001203213801540802,person,0.004221786951936116,5
113,unet,sz3,base,10,0.001203213801540802,rider,0.00028724114896459585,5
114,unet,sz3,base,10,0.001203213801540802,car,0.0,5
115,unet,sz3,base,10,0.001203213801540802,truck,0.0,5
116,unet,sz3,base,10,0.001203213801540802,bus,0.0,5
117,unet,sz3,base,10,0.001203213801540802,train,0.0017729694152491824,5
118,unet,sz3,base,10,0.001203213801540802,motorcycle,0.0,5
119,unet,sz3,base,10,0.001203213801540802,bicycle,0.0,5
120,unet,sz3,base,10,0.001165488745598892,unlabeled,6.83811596229007e-06,6
121,unet,sz3,base,10,0.001165488745598892,road,0.005991357020450208,6
122,unet,sz3,base,10,0.001165488745598892,sidewalk,0.0,6
123,unet,sz3,base,10,0.001165488745598892,building,0.0018521072800953666,6
124,unet,sz3,base,10,0.001165488745598892,wall,0.0048178793914480655,6
125,unet,sz3,base,10,0.001165488745598892,fence,0.01299752520303792,6
126,unet,sz3,base,10,0.001165488745598892,pole,0.0007615613126853156,6
127,unet,sz3,base,10,0.001165488745598892,traffic light,0.0,6
128,unet,sz3,base,10,0.001165488745598892,traffic sign,0.00035824325880400254,6
129,unet,sz3,base,10,0.001165488745598892,vegetation,2.8409885591205347e-05,6
130,unet,sz3,base,10,0.001165488745598892,terrain,0.002633191105187924,6
131,unet,sz3,base,10,0.001165488745598892,sky,0.003860706577094034,6
132,unet,sz3,base,10,0.001165488745598892,person,0.003962889686639272,6
133,unet,sz3,base,10,0.001165488745598892,rider,0.00017260952406243153,6
134,unet,sz3,base,10,0.001165488745598892,car,0.0,6
135,unet,sz3,base,10,0.001165488745598892,truck,0.0,6
136,unet,sz3,base,10,0.001165488745598892,bus,0.0,6
137,unet,sz3,base,10,0.001165488745598892,train,0.002183298989304288,6
138,unet,sz3,base,10,0.001165488745598892,motorcycle,0.0,6
139,unet,sz3,base,10,0.001165488745598892,bicycle,0.0,6
140,unet,sz3,base,10,0.0011889653220229178,unlabeled,1.771948722757211e-05,7
141,unet,sz3,base,10,0.0011889653220229178,road,0.00588741933611437,7
142,unet,sz3,base,10,0.0011889653220229178,sidewalk,9.645092737566671e-06,7
143,unet,sz3,base,10,0.0011889653220229178,building,0.0020956827211103383,7
144,unet,sz3,base,10,0.0011889653220229178,wall,0.007028367892125684,7
145,unet,sz3,base,10,0.0011889653220229178,fence,0.013490446561312703,7
146,unet,sz3,base,10,0.0011889653220229178,pole,0.0005165274676888077,7
147,unet,sz3,base,10,0.0011889653220229178,traffic light,0.0,7
148,unet,sz3,base,10,0.0011889653220229178,traffic sign,0.00035237229121069536,7
149,unet,sz3,base,10,0.0011889653220229178,vegetation,2.707501613583623e-05,7
150,unet,sz3,base,10,0.0011889653220229178,terrain,0.0006827986468172273,7
151,unet,sz3,base,10,0.0011889653220229178,sky,0.0037480843635293473,7
152,unet,sz3,base,10,0.0011889653220229178,person,0.0037566782040304395,7
153,unet,sz3,base,10,0.0011889653220229178,rider,0.0002176174964467143,7
154,unet,sz3,base,10,0.0011889653220229178,car,0.0,7
155,unet,sz3,base,10,0.0011889653220229178,truck,0.0,7
156,unet,sz3,base,10,0.0011889653220229178,bus,0.0,7
157,unet,sz3,base,10,0.0011889653220229178,train,0.0017826980606035939,7
158,unet,sz3,base,10,0.0011889653220229178,motorcycle,0.0008116883116883117,7
159,unet,sz3,base,10,0.0011889653220229178,bicycle,0.0,7
160,unet,sz3,base,10,0.0012787973789598112,unlabeled,1.2031613063323884e-05,8
161,unet,sz3,base,10,0.0012787973789598112,road,0.00662230782230353,8
162,unet,sz3,base,10,0.0012787973789598112,sidewalk,0.0,8
163,unet,sz3,base,10,0.0012787973789598112,building,0.002438751285916841,8
164,unet,sz3,base,10,0.0012787973789598112,wall,0.005705962495456411,8
165,unet,sz3,base,10,0.0012787973789598112,fence,0.01533269443015204,8
166,unet,sz3,base,10,0.0012787973789598112,pole,0.0008672325521733796,8
167,unet,sz3,base,10,0.0012787973789598112,traffic light,0.0,8
168,unet,sz3,base,10,0.0012787973789598112,traffic sign,0.0003030915336431602,8
169,unet,sz3,base,10,0.0012787973789598112,vegetation,1.9994592766651802e-05,8
170,unet,sz3,base,10,0.0012787973789598112,terrain,0.0018723669839288502,8
171,unet,sz3,base,10,0.0012787973789598112,sky,0.0038793522021626095,8
172,unet,sz3,base,10,0.0012787973789598112,person,0.004151051308679881,8
173,unet,sz3,base,10,0.0012787973789598112,rider,0.00037180249851279,8
174,unet,sz3,base,10,0.0012787973789598112,car,0.0,8
175,unet,sz3,base,10,0.0012787973789598112,truck,0.0,8
176,unet,sz3,base,10,0.0012787973789598112,bus,0.0,8
177,unet,sz3,base,10,0.0012787973789598112,train,0.0019024715658741075,8
178,unet,sz3,base,10,0.0012787973789598112,motorcycle,0.0,8
179,unet,sz3,base,10,0.0012787973789598112,bicycle,0.0,8
180,unet,sz3,base,10,0.0011633054660813702,unlabeled,2.0223098223588073e-05,9
181,unet,sz3,base,10,0.0011633054660813702,road,0.005835870595607256,9
182,unet,sz3,base,10,0.0011633054660813702,sidewalk,2.903872152188713e-05,9
183,unet,sz3,base,10,0.0011633054660813702,building,0.0016294137187955436,9
184,unet,sz3,base,10,0.0011633054660813702,wall,0.005578295454249379,9
185,unet,sz3,base,10,0.0011633054660813702,fence,0.013619392863307933,9
186,unet,sz3,base,10,0.0011633054660813702,pole,0.0006271374936241021,9
187,unet,sz3,base,10,0.0011633054660813702,traffic light,0.0,9
188,unet,sz3,base,10,0.0011633054660813702,traffic sign,0.0003486461684485712,9
189,unet,sz3,base,10,0.0011633054660813702,vegetation,1.6520805345784802e-05,9
190,unet,sz3,base,10,0.0011633054660813702,terrain,0.0017323064721474339,9
191,unet,sz3,base,10,0.0011633054660813702,sky,0.0037878840702754157,9
192,unet,sz3,base,10,0.0011633054660813702,person,0.004034627051784708,9
193,unet,sz3,base,10,0.0011633054660813702,rider,0.00027786060885358777,9
194,unet,sz3,base,10,0.0011633054660813702,car,0.0,9
195,unet,sz3,base,10,0.0011633054660813702,truck,0.0,9
196,unet,sz3,base,10,0.0011633054660813702,bus,0.0,9
197,unet,sz3,base,10,0.0011633054660813702,train,0.0020151687245813944,9
198,unet,sz3,base,10,0.0011633054660813702,motorcycle,0.0,9
199,unet,sz3,base,10,0.0011633054660813702,bicycle,0.0,9
200,unet,sz3,1E-7,10,0.001336921337406508,unlabeled,4.5014025422658004e-05,0
201,unet,sz3,1E-7,10,0.001336921337406508,road,0.0032208684990369637,0
202,unet,sz3,1E-7,10,0.001336921337406508,sidewalk,3.764937140411349e-05,0
203,unet,sz3,1E-7,10,0.001336921337406508,building,0.002165939631582277,0
204,unet,sz3,1E-7,10,0.001336921337406508,wall,0.01826340989433176,0
205,unet,sz3,1E-7,10,0.001336921337406508,fence,0.0069046950486352605,0
206,unet,sz3,1E-7,10,0.001336921337406508,pole,0.0009807322627006132,0
207,unet,sz3,1E-7,10,0.001336921337406508,traffic light,0.0,0
208,unet,sz3,1E-7,10,0.001336921337406508,traffic sign,0.00025151107624920037,0
209,unet,sz3,1E-7,10,0.001336921337406508,vegetation,5.075021313195851e-05,0
210,unet,sz3,1E-7,10,0.001336921337406508,terrain,0.00332542654697165,0
211,unet,sz3,1E-7,10,0.001336921337406508,sky,0.004385364836989146,0
212,unet,sz3,1E-7,10,0.001336921337406508,person,0.004854747080196527,0
213,unet,sz3,1E-7,10,0.001336921337406508,rider,0.00037943721330469486,0
214,unet,sz3,1E-7,10,0.001336921337406508,car,0.0,0
215,unet,sz3,1E-7,10,0.001336921337406508,truck,0.0,0
216,unet,sz3,1E-7,10,0.001336921337406508,bus,0.0,0
217,unet,sz3,1E-7,10,0.001336921337406508,train,0.0005897797718644467,0
218,unet,sz3,1E-7,10,0.001336921337406508,motorcycle,0.0,0
219,unet,sz3,1E-7,10,0.001336921337406508,bicycle,0.0,0
220,unet,sz3,1E-7,10,0.0013064079917760093,unlabeled,4.4767087237463015e-05,1
221,unet,sz3,1E-7,10,0.0013064079917760093,road,0.003314529940456357,1
222,unet,sz3,1E-7,10,0.0013064079917760093,sidewalk,5.709643588020166e-05,1
223,unet,sz3,1E-7,10,0.0013064079917760093,building,0.002127118341676441,1
